sweep_id:  minidev500_r3_20260713_123516_deepseek-v3_2
model:     deepseek-v3.2
replicas:  [3]
policy:    P0_parallel (independent replicas, best_of_n coordination)

=== 3 replicas ===
/workspaces/Cursor Agent Database Optimisation/.venv/bin/python3 -u /workspaces/Cursor Agent Database Optimisation/scripts/run_parallel_batch.py --model deepseek-v3.2 --replicas 3 --policy best_of_n --batch-id minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3 --limit 0
batch_id:     minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3
model:        deepseek-v3.2
replicas:     3
policy:       best_of_n
early_stop:   False
shared_cache: False
discovery:    False
semantic:     False
prompt_cache: False
schema_prune: False (keyword)
db_profile:   False
suppressor:   False
schedule:     {'base_temperature': 0.0, 'temperature_mode': 'uniform', 'temperature_step': 0.2, 'stagger_mode': 'none', 'stagger_seconds': 0.0, 'stagger_turns': 0, 'stagger_poll_seconds': 1.0}
tasks:        500
output:       /workspaces/Cursor Agent Database Optimisation/runs/batches/parallel_minidev500_r3_20260713_123516_deepseek-v3_2_baseline_r3_deepseek-v3.2_r3_best_of_n.json
[98/500] question_id=1195 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[99/500] question_id=1198 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[100/500] question_id=1201 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[101/500] question_id=1205 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[102/500] question_id=1208 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[103/500] question_id=1209 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[104/500] question_id=1220 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[105/500] question_id=1225 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[106/500] question_id=1227 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[107/500] question_id=1229 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[108/500] question_id=1231 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[109/500] question_id=1232 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[110/500] question_id=1235 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[111/500] question_id=1238 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[112/500] question_id=1239 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[113/500] question_id=1241 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[114/500] question_id=1242 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[115/500] question_id=1243 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[116/500] question_id=1247 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[117/500] question_id=1251 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[118/500] question_id=1252 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[119/500] question_id=1254 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[120/500] question_id=1255 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[121/500] question_id=1256 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[122/500] question_id=1257 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[123/500] question_id=1265 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[124/500] question_id=1267 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[125/500] question_id=1270 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[126/500] question_id=1275 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[127/500] question_id=1281 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[128/500] question_id=1302 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[129/500] question_id=1025 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[130/500] question_id=1028 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[131/500] question_id=1029 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[132/500] question_id=1030 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[133/500] question_id=1031 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[134/500] question_id=1032 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[135/500] question_id=1035 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[136/500] question_id=1036 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[137/500] question_id=1037 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[138/500] question_id=1039 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[139/500] question_id=1040 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[140/500] question_id=1042 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[141/500] question_id=1044 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[142/500] question_id=1048 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[143/500] question_id=1057 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[144/500] question_id=1058 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[145/500] question_id=1068 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[146/500] question_id=1076 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[147/500] question_id=1078 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[148/500] question_id=1079 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[149/500] question_id=1080 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[150/500] question_id=1084 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[151/500] question_id=1088 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[152/500] question_id=1091 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[153/500] question_id=1092 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[154/500] question_id=1094 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[155/500] question_id=1096 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[156/500] question_id=1098 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[157/500] question_id=1102 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[158/500] question_id=1103 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[159/500] question_id=1105 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[160/500] question_id=1107 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[161/500] question_id=1110 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[162/500] question_id=1113 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[163/500] question_id=1114 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[164/500] question_id=1115 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[165/500] question_id=1116 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[166/500] question_id=1122 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[167/500] question_id=1124 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[168/500] question_id=1130 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[169/500] question_id=1133 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[170/500] question_id=1134 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[171/500] question_id=1135 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[172/500] question_id=1136 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[173/500] question_id=1139 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[174/500] question_id=1141 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[175/500] question_id=1144 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[176/500] question_id=1145 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[177/500] question_id=1146 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[178/500] question_id=1147 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[179/500] question_id=1148 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[180/500] question_id=846 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[181/500] question_id=847 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[182/500] question_id=850 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[183/500] question_id=854 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[184/500] question_id=857 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[185/500] question_id=859 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[186/500] question_id=861 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[187/500] question_id=862 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[188/500] question_id=865 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[189/500] question_id=866 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[190/500] question_id=868 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[191/500] question_id=869 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[192/500] question_id=872 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[193/500] question_id=875 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[194/500] question_id=877 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[195/500] question_id=879 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[196/500] question_id=880 (challenging) x3 ...
  -> EX=1 (1/3 replicas correct)

[197/500] question_id=881 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[198/500] question_id=884 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[199/500] question_id=892 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[200/500] question_id=894 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[201/500] question_id=895 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[202/500] question_id=896 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[203/500] question_id=897 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[204/500] question_id=898 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[205/500] question_id=901 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[206/500] question_id=902 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[207/500] question_id=904 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[208/500] question_id=906 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[209/500] question_id=909 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[210/500] question_id=910 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[211/500] question_id=912 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[212/500] question_id=915 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[213/500] question_id=928 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[214/500] question_id=930 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[215/500] question_id=931 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[216/500] question_id=933 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[217/500] question_id=937 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[218/500] question_id=940 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[219/500] question_id=944 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[220/500] question_id=945 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[221/500] question_id=948 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[222/500] question_id=950 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[223/500] question_id=951 (simple) x3 ...
  -> EX=1 (1/3 replicas correct)

[224/500] question_id=954 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[225/500] question_id=955 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[226/500] question_id=959 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[227/500] question_id=960 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[228/500] question_id=962 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[229/500] question_id=963 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[230/500] question_id=964 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[231/500] question_id=967 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[232/500] question_id=971 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[233/500] question_id=972 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[234/500] question_id=977 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[235/500] question_id=978 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[236/500] question_id=981 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[237/500] question_id=988 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[238/500] question_id=989 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[239/500] question_id=990 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[240/500] question_id=717 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[241/500] question_id=994 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[242/500] question_id=1001 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[243/500] question_id=1002 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[244/500] question_id=1003 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[245/500] question_id=1011 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[246/500] question_id=1014 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[247/500] question_id=719 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[248/500] question_id=723 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[249/500] question_id=724 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[250/500] question_id=726 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[251/500] question_id=728 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[252/500] question_id=730 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[253/500] question_id=732 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[254/500] question_id=733 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[255/500] question_id=736 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[256/500] question_id=737 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[257/500] question_id=738 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[258/500] question_id=739 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[259/500] question_id=740 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[260/500] question_id=743 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[261/500] question_id=744 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[262/500] question_id=745 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[263/500] question_id=747 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[264/500] question_id=750 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[265/500] question_id=751 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[266/500] question_id=753 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[267/500] question_id=758 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[268/500] question_id=760 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[269/500] question_id=761 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[270/500] question_id=764 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[271/500] question_id=765 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[272/500] question_id=766 (moderate) x3 ...
  -> EX=1 (1/3 replicas correct)

[273/500] question_id=769 (challenging) x3 ...
  -> EX=1 (2/3 replicas correct)

[274/500] question_id=772 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[275/500] question_id=773 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[276/500] question_id=775 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[277/500] question_id=779 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[278/500] question_id=781 (simple) x3 ...
  -> EX=0 (0/3 replicas correct)

[279/500] question_id=782 (moderate) x3 ...
  -> EX=1 (2/3 replicas correct)

[280/500] question_id=785 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[281/500] question_id=786 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[282/500] question_id=788 (challenging) x3 ...
  -> EX=0 (0/3 replicas correct)

[283/500] question_id=790 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[284/500] question_id=791 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[285/500] question_id=792 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[286/500] question_id=794 (moderate) x3 ...
  -> EX=0 (0/3 replicas correct)

[287/500] question_id=796 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[288/500] question_id=797 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[289/500] question_id=798 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[290/500] question_id=800 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[291/500] question_id=801 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[292/500] question_id=806 (simple) x3 ...
  -> EX=1 (3/3 replicas correct)

[293/500] question_id=819 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

[294/500] question_id=822 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[295/500] question_id=824 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[296/500] question_id=825 (moderate) x3 ...
  -> EX=1 (3/3 replicas correct)

[297/500] question_id=829 (challenging) x3 ...
  -> EX=1 (3/3 replicas correct)

